F_Data.F04.2.0001	SHOOT
F_Data.F04.2.0123	CAKE
F_Data.F04.2.0124	HITTING
F_Data.F04.2.0125	CITY
F_Data.F04.2.0126	THIS IS A PERIOD OF TRANSITION FOR ME
F_Data.F04.2.0127	THERE IS A TREEHOUSE UP ABOVE
F_Data.F04.2.0128	THE DOLPHINS SWAM AROUND OUR BOAT
F_Data.F04.2.0129	LITTLE BOY WITH BLONDE HAIR SITTING BESIDE A DOG IN FRONT OF A DOGHOUSE LITTLE BOY IS HOLDING A HAMMER AND THE DOG IS LOOKING AT HIM
F_Data.F04.2.0130	PAPA
F_Data.F04.2.0131	BRAN
F_Data.F04.2.0132	BRAWN
F_Data.F04.2.0133	PRETTY
F_Data.F04.2.0134	WITTY
F_Data.F04.2.0135	TELL
F_Data.F04.2.0136	NINE
F_Data.F04.2.0137	WRITTEN
F_Data.F04.2.0138	HOTEL
F_Data.F04.2.0139	CART
F_Data.F04.2.0140	THE BOX CONTAINED THREE SWEATERS
F_Data.F04.2.0141	BITTEN
F_Data.F04.2.0142	LICK
F_Data.F04.2.0143	THIS IS NOT A PROGRAM OF SOCIALIZED MEDICINE
F_Data.F04.2.0144	THIS IS NOT A PROGRAM OF SOCIALIZED MEDICINE
F_Data.F04.2.0145	LEAGUE
F_Data.F04.2.0146	AT
F_Data.F04.2.0147	IT EVENTUALLY BECAME A RATHER PROUD CLAIM
F_Data.F04.2.0148	THE LITTLE SCHOOLHOUSE STOOD EMPTY
F_Data.F04.2.0149	STUDENTS WATCHED AS HE GOT OUT
F_Data.F04.2.0150	TAKE
F_Data.F04.2.0151	KITTEN
F_Data.F04.2.0152	SITTING
F_Data.F04.2.0153	NO
F_Data.F04.2.0154	RICH
F_Data.F04.2.0155	SEVEN
F_Data.F04.2.0156	LEAK
F_Data.F04.2.0157	BOTH INJURIES WERE TO THE SAME LEG
F_Data.F04.2.0158	HARK
F_Data.F04.2.0159	THE JOB PROVIDES MANY BENEFITS
F_Data.F04.2.0160	HIM
F_Data.F04.2.0162	THE MUSEUM HIRES MUSICIANS EVERY EVENING
F_Data.F04.2.0163	EIGHT
F_Data.F04.2.0164	ECHO
F_Data.F04.2.0166	TOP
F_Data.F04.2.0167	QUEBEC
F_Data.F04.2.0168	MIKE
F_Data.F04.2.0169	LIMA
F_Data.F04.2.0170	SHE WORE WARM FLEECY WOOLEN OVERALLS
F_Data.F04.2.0171	VAT
F_Data.F04.2.0172	BEFORE THURSDAY'S EXAM REVIEW EVERY FORMULA
F_Data.F04.2.0173	YES
F_Data.F04.2.0174	BLOW
F_Data.F04.2.0175	SIGH
F_Data.F04.2.0176	I HAVE HAD MY BELL RUNG
F_Data.F04.2.0177	DAY AFTER DAY SOME NEW EPISODE IS REPORTED
F_Data.F04.2.0178	HEART
F_Data.F04.2.0179	KILO
F_Data.F04.2.0180	KILO
F_Data.F04.2.0181	KNITTING
F_Data.F04.2.0182	FOXTROT
F_Data.F04.2.0183	HE FURTHER PROPOSED GRANTS OF AN UNSPECIFIED SUM FOR EXPERIMENTAL HOSPITALS
F_Data.F04.2.0184	LEAK
F_Data.F04.2.0185	SPAIN
F_Data.F04.2.0186	FILL
F_Data.F04.2.0187	FAT
F_Data.F04.2.0188	FAT
F_Data.F04.2.0189	LOYAL
F_Data.F04.2.0190	BARN
F_Data.F04.2.0191	BITE
F_Data.F04.2.0192	BIT
F_Data.F04.2.0193	A ROLL OF WIRE LAY NEAR THE WALL
F_Data.F04.2.0194	THORN
F_Data.F04.2.0195	THORN
F_Data.F04.2.0196	LEAK
F_Data.F04.2.0197	AT
F_Data.F04.2.0198	HARM
F_Data.F04.2.0199	HARP
F_Data.F04.2.0200	HE WRAPPED THE PACKAGE HASTILY
F_Data.F04.2.0201	CHOP
F_Data.F04.2.0202	START
F_Data.F04.2.0203	WE RODE HORSEBACK TO THE FARM
F_Data.F04.2.0204	JULIET
F_Data.F04.2.0205	PARK
F_Data.F04.2.0206	THE BOOKS ARE VERY EXPENSIVE
F_Data.F04.2.0207	DID DAD DO ACADEMIC BIDDING
F_Data.F04.2.0208	A GOOD ATTITUDE IS UNBEATABLE
F_Data.F04.2.0209	DREAD
F_Data.F04.2.0210	SHELL
F_Data.F04.2.0211	SIN
F_Data.F04.2.0212	KNOT
F_Data.F04.2.0213	TICKER
F_Data.F04.2.0214	THE PROSPECT OF CUTTING BACK SPENDING IS AN UNPLEASANT ONE FOR ANY GOVERNOR
F_Data.F04.2.0215	EACH ONE VOLUNTEERED TO JUMP FIRST
F_Data.F04.2.0216	UNIFORM
F_Data.F04.2.0217	THE HOTEL OWNER SHRUGGED
F_Data.F04.2.0218	TIN
F_Data.F04.2.0219	WICKED
F_Data.F04.2.0220	THE PAIR OF SHOES WAS NEW
F_Data.F04.2.0221	NO
F_Data.F04.2.0222	ZIP
F_Data.F04.2.0223	HE REALLY CRUCIFIED HIM HE NAILED IT FOR A YARD LOSS
F_Data.F04.2.0224	SHEET
F_Data.F04.2.0225	TWO
F_Data.F04.2.0226	SLICKER
F_Data.F04.2.0227	PEOPLE WHO VALUE THEMSELVES ARE LIFE'S WINNERS
F_Data.F04.2.0228	THE OWNERS REGULARLY LOOK FOR PLUMBING LEAKS
F_Data.F04.2.0229	NEST
F_Data.F04.2.0230	AND
F_Data.F04.2.0231	SIP
F_Data.F04.2.0232	XRAY
F_Data.F04.2.0233	LOCK
F_Data.F04.2.0234	SAND
F_Data.F04.2.0235	HIM
F_Data.F04.2.0236	HIM
F_Data.F04.2.0237	BITTER
F_Data.F04.2.0238	HAM
F_Data.F04.2.0239	KNOT
F_Data.F04.2.0240	RIGHT
F_Data.F04.2.0241	I'M WILLING TO EXPERIMENT FOR THE FIRST TIME
F_Data.F04.2.0242	WITCH
F_Data.F04.2.0243	ALTHOUGH ALWAYS ALONE WE SURVIVE
F_Data.F04.2.0244	WE HAVE AN EXCELLENT TEAM
F_Data.F04.2.0245	NUT
F_Data.F04.2.0246	SELL
F_Data.F04.2.0247	PLEASE OPEN THE WINDOW QUICKLY
F_Data.F04.2.0248	HE IS DEFINITELY A NOTCH ABOVE US
F_Data.F04.2.0249	SIN
F_Data.F04.2.0250	VICTOR
